UserID,nu,ru
1,175,3.96
2,61,4.0
3,187,4.122994652406417
4,28,3.5714285714285716
5,66,4.2727272727272725
6,24,3.75
7,276,3.289855072463768
8,70,3.8
9,35,3.057142857142857
10,38,3.8947368421052633
11,504,4.136904761904762
12,36,3.5277777777777777
13,62,3.725806451612903
14,243,3.9876543209876543
15,49,3.204081632653061
16,60,3.5166666666666666
17,26,4.038461538461538
18,121,3.7768595041322315
19,50,3.84
20,28,3.642857142857143
21,163,3.705521472392638
22,133,3.593984962406015
23,102,3.9411764705882355
24,506,3.3320158102766797
25,121,3.8595041322314048
26,61,3.4918032786885247
27,69,4.028985507246377
28,32,2.8125
29,177,3.4915254237288136
30,31,3.161290322580645
31,246,3.569105691056911
32,73,3.452054794520548
33,50,3.3
34,93,3.860215053763441
35,195,4.466666666666667
36,20,3.05
37,20,3.4
38,74,3.4864864864864864
39,20,3.7
40,73,3.328767123287671
41,59,4.11864406779661
42,51,4.254901960784314
43,87,3.8735632183908044
44,33,4.2727272727272725
45,44,3.272727272727273
46,122,3.4098360655737703
47,50,2.7
48,99,3.919191919191919
49,30,3.966666666666667
50,99,4.262626262626263
51,102,3.5784313725490198
52,20,3.35
53,206,4.101941747572815
54,710,3.435211267605634
55,30,4.166666666666667
56,179,3.4804469273743015
57,24,4.333333333333333
58,657,4.2465753424657535
59,25,3.6
60,72,4.277777777777778
61,194,3.5927835051546393
62,27,4.592592592592593
63,49,4.204081632653061
64,32,4.34375
65,78,4.0256410256410255
66,52,3.826923076923077
67,66,4.0606060606060606
68,32,3.5
69,273,3.142857142857143
70,116,2.7586206896551726
71,45,4.488888888888889
72,84,4.083333333333333
73,187,3.556149732620321
74,67,4.2835820895522385
75,47,3.9148936170212765
76,49,3.693877551020408
77,100,3.84
78,56,3.607142857142857
79,25,3.68
80,25,3.64
81,23,4.739130434782608
82,270,4.229629629629629
83,37,3.945945945945946
84,36,4.055555555555555
85,69,4.420289855072464
86,39,3.6666666666666665
87,35,2.8857142857142857
88,163,2.423312883435583
89,121,3.4214876033057853
90,127,3.8031496062992125
91,666,3.6381381381381384
92,32,3.5
93,55,3.890909090909091
94,26,3.576923076923077
95,25,3.4
96,449,3.681514476614699
97,39,3.4871794871794872
98,80,4.3625
99,56,4.375
100,52,3.5
101,123,3.4959349593495936
102,89,4.314606741573034
103,141,3.702127659574468
104,998,2.850701402805611
105,26,3.9615384615384617
106,33,3.212121212121212
107,53,4.018867924528302
108,90,3.2222222222222223
109,166,3.7590361445783134
110,64,3.84375
111,23,3.9130434782608696
112,110,3.881818181818182
113,28,4.392857142857143
114,67,3.8208955223880596
