MovieID,ni,ri,rating_group
1,49695,4.017768387161686,G10: 70%-100%
2,22243,3.3218990244121747,G5: 20%-30%
3,12735,3.212485276796231,G4: 10%-20%
4,2756,2.8944121915820027,G2: 1%-5%
5,12161,3.126140942356714,G4: 10%-20%
6,23899,3.911795472613917,G9: 60%-70%
7,12961,3.4196435460226833,G5: 20%-30%
8,1415,3.184452296819788,G4: 10%-20%
9,3960,3.0348484848484847,G4: 10%-20%
10,29005,3.504085502499569,G6: 30%-40%
11,18162,3.7207906618213853,G7: 40%-50%
12,3845,2.6886866059817947,G2: 1%-5%
13,1461,3.353867214236824,G5: 20%-30%
14,6022,3.465293922284955,G6: 30%-40%
15,2910,2.7869415807560136,G2: 1%-5%
16,17394,3.892664137058756,G8: 50%-60%
17,20667,4.016257802293511,G10: 70%-100%
18,5203,3.463194310974438,G6: 30%-40%
19,20938,2.724949851943834,G2: 1%-5%
20,4084,2.9485798237022527,G3: 5%-10%
21,24116,3.6361336871786367,G7: 40%-50%
22,9928,3.393231265108783,G5: 20%-30%
23,4250,3.215294117647059,G4: 10%-20%
24,7971,3.2737423158951198,G5: 20%-30%
25,21553,3.743283997587343,G8: 50%-60%
26,2755,3.6747731397459167,G7: 40%-50%
27,1642,3.472594397076736,G6: 30%-40%
28,3154,4.103360811667724,G10: 70%-100%
29,8520,4.062206572769953,G10: 70%-100%
30,1281,3.6627634660421546,G7: 40%-50%
31,9435,3.344250132485427,G5: 20%-30%
32,44980,3.994197421076034,G9: 60%-70%
33,65,3.0615384615384613,G4: 10%-20%
34,32255,3.7149589210975043,G7: 40%-50%
35,1493,3.518419290020094,G6: 30%-40%
36,20809,3.9956268922101015,G9: 60%-70%
37,85,3.0823529411764707,G4: 10%-20%
38,552,2.9184782608695654,G2: 1%-5%
39,26254,3.489677763388436,G6: 30%-40%
40,886,3.6760722347629797,G7: 40%-50%
41,4689,3.8818511409682235,G8: 50%-60%
42,2467,3.099310903931901,G4: 10%-20%
43,2552,3.4858934169278997,G6: 30%-40%
44,10697,2.7569411984668597,G2: 1%-5%
45,8933,3.44061345572596,G6: 30%-40%
46,3205,3.3101404056162247,G5: 20%-30%
47,43249,4.1620846724779765,G10: 70%-100%
48,13046,3.0590219224283306,G4: 10%-20%
49,236,3.6483050847457625,G7: 40%-50%
50,47006,4.437348423605497,G10: 70%-100%
51,27,2.6296296296296298,G2: 1%-5%
52,9320,3.586587982832618,G7: 40%-50%
53,150,3.76,G8: 50%-60%
54,956,2.8985355648535567,G2: 1%-5%
55,939,3.25346112886049,G5: 20%-30%
56,70,1.9285714285714286,G1: <=1%
57,2439,3.3530135301353012,G5: 20%-30%
58,11549,4.039830288336653,G10: 70%-100%
59,191,3.581151832460733,G7: 40%-50%
60,6313,3.1884999207983524,G4: 10%-20%
61,2281,3.341078474353354,G5: 20%-30%
62,19381,3.789432949796192,G8: 50%-60%
63,2334,3.1473864610111395,G4: 10%-20%
64,2086,2.853307766059444,G2: 1%-5%
65,4864,2.498560855263158,G1: <=1%
66,2371,2.1944327288064107,G1: <=1%
67,170,3.364705882352941,G5: 20%-30%
68,1238,3.4604200323101777,G6: 30%-40%
69,4288,3.6632462686567164,G7: 40%-50%
70,12712,3.3912051604782882,G5: 20%-30%
71,1295,2.395366795366795,G1: <=1%
72,1230,3.5772357723577235,G7: 40%-50%
73,2955,3.8676818950930625,G8: 50%-60%
74,3514,3.3289698349459305,G5: 20%-30%
75,558,2.4982078853046596,G1: <=1%
76,3380,3.0538461538461537,G4: 10%-20%
77,221,3.4479638009049776,G6: 30%-40%
78,1226,3.2145187601957588,G4: 10%-20%
79,5535,3.158626919602529,G4: 10%-20%
80,575,3.7582608695652175,G8: 50%-60%
81,3209,3.3041445933312557,G5: 20%-30%
82,2538,4.034278959810875,G10: 70%-100%
83,594,3.6717171717171717,G7: 40%-50%
84,158,3.4367088607594938,G6: 30%-40%
85,2714,3.5563743551952838,G6: 30%-40%
86,4308,3.510213556174559,G6: 30%-40%
87,976,2.4272540983606556,G1: <=1%
88,4864,3.1922286184210527,G4: 10%-20%
89,3247,3.1940252540806897,G4: 10%-20%
90,214,3.369158878504673,G5: 20%-30%
92,2303,2.890143291359097,G2: 1%-5%
93,1966,2.5783316378433367,G2: 1%-5%
94,4030,3.579652605459057,G7: 40%-50%
95,22104,3.1591567137169743,G4: 10%-20%
96,483,3.710144927536232,G7: 40%-50%
97,1963,4.114111054508405,G10: 70%-100%
98,81,2.54320987654321,G2: 1%-5%
99,726,3.1225895316804406,G4: 10%-20%
100,4115,3.240583232077764,G4: 10%-20%
101,4298,3.9120521172638436,G9: 60%-70%
102,1992,2.4487951807228914,G1: <=1%
103,1133,3.2868490732568403,G5: 20%-30%
104,17915,3.528998046329891,G6: 30%-40%
105,9620,3.4017671517671517,G5: 20%-30%
106,134,3.470149253731343,G6: 30%-40%
107,6376,3.2992471769134255,G5: 20%-30%
108,125,3.096,G4: 10%-20%
109,16,2.25,G1: <=1%
110,53769,4.1326972791013405,G10: 70%-100%
111,24481,4.205138678975532,G10: 70%-100%
112,11890,3.4713204373423046,G6: 30%-40%
113,1089,3.127640036730946,G4: 10%-20%
114,247,3.659919028340081,G7: 40%-50%
115,38,3.5,G6: 30%-40%
116,949,3.970495258166491,G9: 60%-70%
117,1264,3.6281645569620253,G7: 40%-50%
118,1136,3.0316901408450705,G4: 10%-20%
119,264,2.784090909090909,G2: 1%-5%
120,147,2.945578231292517,G3: 5%-10%
121,837,3.780167264038232,G8: 50%-60%
122,3888,2.913065843621399,G2: 1%-5%
123,2309,4.070160242529234,G10: 70%-100%
124,319,3.5141065830721003,G6: 30%-40%
125,3518,3.8061398521887435,G8: 50%-60%
126,1376,2.385901162790698,G1: <=1%
127,41,3.317073170731707,G5: 20%-30%
128,75,3.546666666666667,G6: 30%-40%
129,190,3.205263157894737,G4: 10%-20%
130,39,3.2564102564102564,G5: 20%-30%
131,194,3.304123711340206,G5: 20%-30%
132,2123,2.8007536504945834,G2: 1%-5%
133,19,2.736842105263158,G2: 1%-5%
134,36,3.75,G8: 50%-60%
135,6305,3.0629659000793024,G4: 10%-20%
136,102,3.5784313725490198,G7: 40%-50%
137,226,3.3008849557522124,G5: 20%-30%
138,137,3.2992700729927007,G5: 20%-30%
139,41,3.1463414634146343,G4: 10%-20%
140,5073,3.315592351665681,G5: 20%-30%
141,22020,3.5742960944595823,G7: 40%-50%
142,41,3.073170731707317,G4: 10%-20%
143,14,2.2857142857142856,G1: <=1%
144,4505,3.508768035516093,G6: 30%-40%
145,11975,3.371356993736952,G5: 20%-30%
146,580,2.9448275862068964,G3: 5%-10%
147,4118,3.6833414278776107,G7: 40%-50%
148,357,2.918767507002801,G2: 1%-5%
149,1091,3.7296058661778186,G8: 50%-60%
150,47777,3.951943403729828,G9: 60%-70%
151,12616,3.5976537729866838,G7: 40%-50%
152,651,3.1490015360983103,G4: 10%-20%
153,32867,2.966531779596556,G3: 5%-10%
154,3010,3.855481727574751,G8: 50%-60%
155,1276,3.4239811912225706,G6: 30%-40%
156,1663,3.555622369212267,G6: 30%-40%
157,2596,2.8505392912172574,G2: 1%-5%
158,12625,3.0384950495049505,G4: 10%-20%
159,2366,3.4602704987320374,G6: 30%-40%
160,14965,2.6608085532910124,G2: 1%-5%
161,23628,3.7866937531742,G8: 50%-60%
162,5995,4.066055045871559,G10: 70%-100%
163,14321,3.5498917673346835,G6: 30%-40%
164,4435,3.4926719278466742,G6: 30%-40%
165,33940,3.564525633470831,G7: 40%-50%
166,650,2.890769230769231,G2: 1%-5%
167,79,3.189873417721519,G4: 10%-20%
168,12084,3.167411453161205,G4: 10%-20%
169,3358,2.3874329958308516,G1: <=1%
170,7875,3.2985396825396824,G5: 20%-30%
171,1427,3.6306937631394534,G7: 40%-50%
172,12706,2.8250432866362347,G2: 1%-5%
173,14993,2.6272260388181152,G2: 1%-5%
174,2124,2.5009416195856873,G2: 1%-5%
175,4801,3.6096646531972505,G7: 40%-50%
176,2363,3.9035124841303426,G8: 50%-60%
177,2314,2.9183232497839238,G2: 1%-5%
178,500,3.41,G5: 20%-30%
179,1229,2.7843775427176567,G2: 1%-5%
180,8400,3.713214285714286,G7: 40%-50%
181,2655,2.023352165725047,G1: <=1%
182,697,3.133428981348637,G4: 10%-20%
183,614,3.3925081433224755,G5: 20%-30%
184,328,3.143292682926829,G4: 10%-20%
185,24618,3.172597286538305,G4: 10%-20%
186,11222,2.977900552486188,G3: 5%-10%
187,943,3.511134676564157,G6: 30%-40%
188,2498,3.3939151321056844,G5: 20%-30%
189,336,3.0148809523809526,G4: 10%-20%
190,960,3.627083333333333,G7: 40%-50%
191,1664,2.7271634615384617,G2: 1%-5%
192,81,3.049382716049383,G4: 10%-20%
193,7464,2.332797427652733,G1: <=1%
194,5937,3.902139127505474,G8: 50%-60%
195,3242,3.1169031462060457,G4: 10%-20%
