MovieID,ni,ri
1,49695,4.017768387161686
2,22243,3.3218990244121747
3,12735,3.212485276796231
4,2756,2.8944121915820027
5,12161,3.126140942356714
6,23899,3.911795472613917
7,12961,3.4196435460226833
8,1415,3.184452296819788
9,3960,3.0348484848484847
10,29005,3.504085502499569
11,18162,3.7207906618213853
12,3845,2.6886866059817947
13,1461,3.353867214236824
14,6022,3.465293922284955
15,2910,2.7869415807560136
16,17394,3.892664137058756
17,20667,4.016257802293511
18,5203,3.463194310974438
19,20938,2.724949851943834
20,4084,2.9485798237022527
21,24116,3.6361336871786367
22,9928,3.393231265108783
23,4250,3.215294117647059
24,7971,3.2737423158951198
25,21553,3.743283997587343
26,2755,3.6747731397459167
27,1642,3.472594397076736
28,3154,4.103360811667724
29,8520,4.062206572769953
30,1281,3.6627634660421546
31,9435,3.344250132485427
32,44980,3.994197421076034
33,65,3.0615384615384613
34,32255,3.7149589210975043
35,1493,3.518419290020094
36,20809,3.9956268922101015
37,85,3.0823529411764707
38,552,2.9184782608695654
39,26254,3.489677763388436
40,886,3.6760722347629797
41,4689,3.8818511409682235
42,2467,3.099310903931901
43,2552,3.4858934169278997
44,10697,2.7569411984668597
45,8933,3.44061345572596
46,3205,3.3101404056162247
47,43249,4.1620846724779765
48,13046,3.0590219224283306
49,236,3.6483050847457625
50,47006,4.437348423605497
51,27,2.6296296296296298
52,9320,3.586587982832618
53,150,3.76
54,956,2.8985355648535567
55,939,3.25346112886049
56,70,1.9285714285714286
57,2439,3.3530135301353012
58,11549,4.039830288336653
59,191,3.581151832460733
60,6313,3.1884999207983524
61,2281,3.341078474353354
62,19381,3.789432949796192
63,2334,3.1473864610111395
64,2086,2.853307766059444
65,4864,2.498560855263158
66,2371,2.1944327288064107
67,170,3.364705882352941
68,1238,3.4604200323101777
69,4288,3.6632462686567164
70,12712,3.3912051604782882
71,1295,2.395366795366795
72,1230,3.5772357723577235
73,2955,3.8676818950930625
74,3514,3.3289698349459305
75,558,2.4982078853046596
76,3380,3.0538461538461537
77,221,3.4479638009049776
78,1226,3.2145187601957588
79,5535,3.158626919602529
80,575,3.7582608695652175
81,3209,3.3041445933312557
82,2538,4.034278959810875
83,594,3.6717171717171717
84,158,3.4367088607594938
85,2714,3.5563743551952838
86,4308,3.510213556174559
87,976,2.4272540983606556
88,4864,3.1922286184210527
89,3247,3.1940252540806897
90,214,3.369158878504673
92,2303,2.890143291359097
93,1966,2.5783316378433367
94,4030,3.579652605459057
95,22104,3.1591567137169743
96,483,3.710144927536232
97,1963,4.114111054508405
98,81,2.54320987654321
99,726,3.1225895316804406
100,4115,3.240583232077764
101,4298,3.9120521172638436
102,1992,2.4487951807228914
103,1133,3.2868490732568403
104,17915,3.528998046329891
105,9620,3.4017671517671517
106,134,3.470149253731343
107,6376,3.2992471769134255
108,125,3.096
109,16,2.25
110,53769,4.1326972791013405
111,24481,4.205138678975532
112,11890,3.4713204373423046
113,1089,3.127640036730946
114,247,3.659919028340081
115,38,3.5
116,949,3.970495258166491
117,1264,3.6281645569620253
118,1136,3.0316901408450705
119,264,2.784090909090909
120,147,2.945578231292517
121,837,3.780167264038232
122,3888,2.913065843621399
123,2309,4.070160242529234
124,319,3.5141065830721003
125,3518,3.8061398521887435
126,1376,2.385901162790698
127,41,3.317073170731707
128,75,3.546666666666667
129,190,3.205263157894737
130,39,3.2564102564102564
131,194,3.304123711340206
132,2123,2.8007536504945834
133,19,2.736842105263158
134,36,3.75
135,6305,3.0629659000793024
136,102,3.5784313725490198
137,226,3.3008849557522124
138,137,3.2992700729927007
139,41,3.1463414634146343
140,5073,3.315592351665681
141,22020,3.5742960944595823
142,41,3.073170731707317
143,14,2.2857142857142856
144,4505,3.508768035516093
145,11975,3.371356993736952
146,580,2.9448275862068964
147,4118,3.6833414278776107
148,357,2.918767507002801
149,1091,3.7296058661778186
150,47777,3.951943403729828
151,12616,3.5976537729866838
152,651,3.1490015360983103
153,32867,2.966531779596556
154,3010,3.855481727574751
155,1276,3.4239811912225706
156,1663,3.555622369212267
157,2596,2.8505392912172574
158,12625,3.0384950495049505
159,2366,3.4602704987320374
160,14965,2.6608085532910124
161,23628,3.7866937531742
162,5995,4.066055045871559
